Freq	E'	E"	tan_delta	PhaseAngle	strain
Hz	Pa	Pa	 	°	%
44.0000	2.1531e+05	8174.08	0.03796	2.174	0.50157
45.0000	2.1500e+05	8285.71	0.03854	2.207	0.46251
46.0000	2.1796e+05	5795.85	0.02659	1.523	0.42904
47.0000	2.2621e+05	3775.88	0.01669	0.956	0.50182
48.0000	2.2654e+05	5833.06	0.02575	1.475	0.46803
49.0000	2.2309e+05	5816.04	0.02607	1.493	0.43737
50.0000	2.3166e+05	6418.50	0.02771	1.587	0.50103
51.0000	2.3155e+05	8517.74	0.03679	2.107	0.47119
52.0000	2.3784e+05	13686.7	0.05755	3.293	0.44542
53.0000	2.5005e+05	17506.3	0.07001	4.005	0.49804
54.0000	2.5658e+05	25113.9	0.09788	5.590	0.47247
55.0000	2.7285e+05	30186.6	0.11064	6.313	0.45039
56.0000	2.9407e+05	31626.8	0.10755	6.138	0.43061
57.0000	3.1990e+05	22780.3	0.07121	4.073	0.50240
58.0000	3.2923e+05	11368.2	0.03453	1.978	0.47976
59.0000	3.4092e+05	-440.88	-0.0013	-0.074	0.45905
60.0000	3.5124e+05	-11449.	-0.0326	-1.867	0.43949
61.0000	3.7153e+05	-23805.	-0.0641	-3.666	0.50329
62.0000	3.7916e+05	-32751.	-0.0864	-4.937	0.48244
63.0000	3.7328e+05	-41161.	-0.1103	-6.292	0.46161
